                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.77721,                 1.0575,                0.67072,                 0.9321,                 0.9972,                0.73469,                0.80971,                0.64382,                 0.9972,                0.73469,                0.80691,                0.63474,                0.97419,                 1.7986,                 1.1154,                0.99385,              0.0019129,              0.0019129,              0.0019129
                     25,                0.77353,                 1.1168,                0.62249,                0.92569,                0.96828,                0.79592,                0.82902,                0.62197,                0.96828,                0.79592,                0.81955,                0.65489,                0.98069,                 1.6781,                 1.0664,                0.97164,              0.0019089,              0.0019089,              0.0019089
                     26,                0.77099,                 1.1516,                0.73393,                0.91668,                0.92113,                0.77551,                0.80792,                0.65538,                0.92113,                0.77551,                0.80792,                0.62135,                0.90001,                 1.7564,                 1.1379,                0.96609,               0.001905,               0.001905,               0.001905
                     27,                0.79491,                 1.1787,                0.68309,                0.94372,                 0.9028,                0.81633,                0.84085,                0.64228,                 0.9028,                0.81633,                0.84078,                0.67796,                  1.007,                 1.5595,                 1.0697,                0.98275,               0.001901,               0.001901,               0.001901
                     28,                0.79177,                  1.176,                0.70393,                0.93515,                0.97049,                0.77551,                0.81709,                 0.6752,                0.97049,                0.77551,                0.81709,                0.64685,                0.86402,                 1.7549,                0.96168,                0.94501,               0.001897,               0.001897,               0.001897
                     29,                0.80588,                 1.2292,                0.69708,                0.93593,                0.97424,                0.77197,                0.81461,                0.62782,                0.97424,                0.77197,                0.81461,                 0.6675,                 1.0488,                 1.5238,                 1.1569,                0.97375,              0.0018931,              0.0018931,              0.0018931
                     30,                0.75506,                 1.0828,                0.61302,                0.93297,                0.95097,                0.79166,                0.84433,                0.68734,                0.95097,                0.79166,                0.84433,                0.66961,                0.87908,                 1.4991,                0.90803,                0.90935,              0.0018891,              0.0018891,              0.0018891
                     31,                0.70979,                 1.0739,                 0.5772,                0.90065,                0.94572,                0.79592,                0.88272,                0.69657,                0.94572,                0.79592,                0.88272,                0.64676,                0.88831,                  1.488,                0.85411,                0.90314,              0.0018852,              0.0018852,              0.0018852
                     32,                0.67963,                 1.0609,                0.57758,                0.89837,                0.97432,                0.77425,                0.86172,                0.67343,                0.97432,                0.77425,                0.86036,                0.66093,                0.90768,                 1.4941,                0.89974,                0.93215,              0.0018812,              0.0018812,              0.0018812
                     33,                0.73045,                 1.1021,                0.56113,                0.91957,                0.97349,                0.74958,                0.84717,                 0.6775,                0.97349,                0.74958,                0.84717,                0.64824,                0.94664,                 1.5707,                0.91282,                0.95733,              0.0018772,              0.0018772,              0.0018772
                     34,                0.72868,                 1.1117,                0.60411,                0.90706,                      1,                0.75378,                0.78367,                0.63927,                      1,                0.75378,                0.78367,                0.63803,                0.95093,                 1.5084,                 1.1254,                0.95437,              0.0018733,              0.0018733,              0.0018733
                     35,                0.69672,                 1.0117,                0.58532,                0.90033,                0.99717,                 0.7551,                0.79484,                0.63875,                0.99717,                 0.7551,                0.79484,                0.61387,                0.94337,                 1.7158,                0.98821,                0.96133,              0.0018693,              0.0018693,              0.0018693
