                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.63081,                0.84213,                0.43356,                0.88251,                0.93667,                0.81633,                0.85895,                0.69595,                0.93667,                0.81633,                0.85895,                0.68638,                0.91076,                 1.6704,                0.98348,                0.93869,              0.0015882,              0.0015882,              0.0015882
                    107,                0.59586,                0.89526,                0.42405,                0.86857,                      1,                0.83594,                0.88279,                0.72169,                      1,                0.83594,                0.88279,                0.68847,                0.85629,                 1.5227,                0.80448,                0.91094,              0.0015842,              0.0015842,              0.0015842
                    108,                  0.577,                0.87744,                0.42934,                0.85441,                0.99733,                0.85714,                 0.9168,                0.75587,                0.99733,                0.85714,                 0.9168,                0.72744,                0.85015,                 1.5668,                0.71337,                0.89501,              0.0015802,              0.0015802,              0.0015802
                    109,                0.60472,                 0.8306,                0.42791,                0.85729,                0.99343,                0.81633,                0.90306,                0.74062,                0.99343,                0.81633,                0.90306,                0.73044,                0.86777,                 1.6224,                0.87148,                0.91522,              0.0015763,              0.0015763,              0.0015763
                    110,                0.59189,                0.90785,                0.48613,                 0.8475,                0.95164,                0.80324,                0.90543,                0.73834,                0.95164,                0.80324,                0.90543,                0.71757,                0.90449,                 1.5403,                0.89598,                0.93808,              0.0015723,              0.0015723,              0.0015723
                    111,                0.59414,                0.83454,                0.46211,                0.88264,                0.99837,                0.89796,                0.92384,                 0.7263,                0.97559,                0.87755,                0.90476,                0.70608,                 0.9818,                 1.5292,                0.62247,                0.94654,              0.0015684,              0.0015684,              0.0015684
                    112,                0.56731,                0.82994,                0.41604,                0.84665,                0.97652,                0.91837,                0.91765,                0.71608,                0.95482,                0.89796,                0.90785,                0.69897,                0.92221,                 1.5607,                0.64137,                0.92774,              0.0015644,              0.0015644,              0.0015644
                    113,                0.60605,                0.89655,                0.44783,                0.86411,                0.95461,                0.87755,                0.89793,                0.70119,                      1,                0.83149,                0.89668,                 0.6802,                0.93866,                 1.5951,                0.70732,                0.95151,              0.0015604,              0.0015604,              0.0015604
                    114,                0.57267,                0.83566,                0.42302,                0.85485,                0.95333,                0.83381,                0.88623,                0.70993,                0.95333,                0.83381,                0.88034,                0.68617,                 0.8997,                 1.6829,                0.79917,                0.94528,              0.0015565,              0.0015565,              0.0015565
                    115,                0.58364,                0.81934,                0.43069,                 0.8451,                0.97659,                0.85155,                0.88839,                0.73959,                0.97659,                0.85155,                0.88839,                 0.6957,                 0.8953,                  1.651,                0.86754,                 0.9378,              0.0015525,              0.0015525,              0.0015525
                    116,                0.60373,                0.85951,                0.42621,                0.86426,                0.94271,                 0.7551,                0.84484,                0.68757,                0.94271,                 0.7551,                0.84862,                0.67089,                0.90894,                 1.6929,                0.95761,                0.94218,              0.0015486,              0.0015486,              0.0015486
                    117,                0.59156,                0.85499,                0.43039,                0.85904,                      1,                0.75267,                0.84371,                0.70153,                      1,                0.75267,                0.83703,                0.67739,                0.86848,                 1.6408,                0.95019,                0.91819,              0.0015446,              0.0015446,              0.0015446
                    118,                0.59162,                  0.883,                0.42657,                0.85127,                0.99709,                0.77551,                0.87552,                0.71575,                0.99709,                0.77551,                0.85946,                0.69194,                0.88271,                 1.6207,                0.84614,                0.91576,              0.0015406,              0.0015406,              0.0015406
                    119,                0.58087,                0.85254,                 0.4284,                0.86366,                      1,                0.76966,                0.88321,                0.72041,                      1,                0.76966,                0.87051,                0.69497,                0.93818,                 1.7132,                0.82462,                0.95015,              0.0015367,              0.0015367,              0.0015367
                    120,                0.58056,                0.81843,                0.42544,                0.87711,                0.97552,                0.81317,                0.87569,                0.71865,                0.97552,                0.81317,                0.86246,                0.69211,                0.88136,                 1.7472,                0.75184,                0.91827,              0.0015327,              0.0015327,              0.0015327
                    121,                0.57202,                0.83313,                0.40047,                0.88005,                0.99742,                0.79592,                0.85084,                0.71256,                0.99742,                0.79592,                0.84987,                 0.6931,                0.89885,                 1.6826,                0.83027,                0.91527,              0.0015288,              0.0015288,              0.0015288
                    122,                0.55573,                0.79276,                0.38994,                0.86657,                      1,                0.77508,                0.87795,                0.72671,                      1,                0.77508,                0.87795,                0.69461,                0.89944,                 1.6409,                0.91207,                 0.9244,              0.0015248,              0.0015248,              0.0015248
                    123,                0.59384,                0.82398,                0.41562,                0.86218,                      1,                0.73297,                0.85822,                0.70842,                      1,                0.73297,                0.85822,                0.67732,                0.87977,                 1.5907,                0.99187,                0.93008,              0.0015208,              0.0015208,              0.0015208
                    124,                0.55716,                0.86695,                0.38738,                0.85457,                      1,                0.79578,                0.88034,                0.72929,                      1,                0.79578,                0.88034,                0.68935,                0.84653,                 1.7008,                 0.8876,                0.92218,              0.0015169,              0.0015169,              0.0015169
                    125,                0.59304,                0.93713,                0.43632,                0.87207,                0.97139,                0.83673,                0.89625,                0.73361,                0.97139,                0.83673,                0.89625,                 0.7123,                0.85662,                 1.5558,                0.74197,                0.90466,              0.0015129,              0.0015129,              0.0015129
                    126,                0.58664,                0.91829,                0.42294,                0.85869,                0.99713,                0.79592,                0.88527,                 0.7256,                0.99713,                0.79592,                0.88527,                0.69699,                0.83963,                 1.4859,                0.74549,                0.90555,               0.001509,               0.001509,               0.001509
                    127,                0.57233,                0.79882,                0.40977,                0.85691,                0.97201,                0.79592,                0.86889,                0.71004,                0.97201,                0.79592,                0.86955,                0.68824,                0.87159,                 1.6651,                0.82863,                 0.9218,               0.001505,               0.001505,               0.001505
                    128,                0.56547,                0.82061,                 0.4032,                0.83945,                      1,                0.81412,                0.87577,                0.72706,                      1,                0.81412,                0.87577,                0.69488,                0.88894,                 1.5961,                 0.7948,                0.92317,               0.001501,               0.001501,               0.001501
                    129,                0.59632,                 0.8157,                0.40263,                0.85658,                      1,                0.81597,                0.88383,                0.73476,                      1,                0.81597,                0.88383,                  0.712,                0.93265,                 1.6354,                0.93761,                0.94337,              0.0014971,              0.0014971,              0.0014971
                    130,                0.57613,                0.79883,                 0.3971,                0.85037,                      1,                0.79343,                0.87666,                0.70365,                      1,                0.79343,                0.87666,                0.68624,                0.92612,                 1.5785,                0.93489,                0.92744,              0.0014931,              0.0014931,              0.0014931
