                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.65503,                0.95991,                0.46207,                0.88085,                0.95954,                0.87755,                  0.905,                0.70756,                0.95954,                0.87755,                  0.905,                0.68025,                0.89314,                 1.5364,                0.63702,                  0.902,              0.0097723,              0.0097723,              0.0097723
                     26,                0.65039,                0.95095,                 0.4545,                0.87715,                0.95627,                0.85714,                0.88501,                0.71226,                0.95627,                0.85714,                0.88501,                0.68602,                0.82009,                 1.4913,                 0.6633,                0.88043,              0.0097624,              0.0097624,              0.0097624
                     27,                0.63143,                0.92238,                0.44899,                0.87369,                0.91026,                0.85034,                0.89188,                0.71139,                0.91026,                0.85034,                0.89564,                0.67956,                0.84224,                 1.4629,                0.66328,                0.89399,              0.0097525,              0.0097525,              0.0097525
                     28,                0.63467,                0.96694,                  0.445,                0.87021,                0.97344,                0.83673,                0.88028,                0.68692,                0.97553,                0.85714,                0.89145,                0.66585,                0.85198,                  1.606,                0.68692,                0.92619,              0.0097426,              0.0097426,              0.0097426
                     29,                0.62952,                0.93745,                0.44784,                0.87081,                0.96966,                0.86952,                0.91115,                0.73123,                0.96966,                0.86952,                0.90811,                0.69367,                0.87932,                 1.5388,                0.64936,                0.91033,              0.0097327,              0.0097327,              0.0097327
                     30,                 0.6266,                0.90584,                0.44827,                0.86603,                0.92812,                0.88435,                0.91924,                0.73327,                0.92812,                0.88435,                0.91924,                0.70545,                 0.8172,                 1.4639,                0.57807,                0.88387,              0.0097228,              0.0097228,              0.0097228
                     31,                0.63656,                0.89446,                0.43653,                0.87315,                 0.9334,                  0.858,                0.92953,                0.73317,                 0.9334,                  0.858,                0.92953,                0.71674,                0.81743,                 1.5088,                0.63861,                0.89029,              0.0097129,              0.0097129,              0.0097129
                     32,                0.62921,                0.92351,                0.43117,                0.87192,                0.94283,                0.86395,                0.91567,                0.70642,                0.94283,                0.86395,                0.91567,                 0.6912,                  0.821,                 1.4023,                0.63326,                0.88712,               0.009703,               0.009703,               0.009703
                     33,                0.61643,                0.90099,                0.44317,                0.86856,                0.96288,                0.82993,                0.88955,                0.69625,                0.96288,                0.82993,                0.88955,                0.68932,                0.87876,                 1.5748,                0.74516,                0.91209,              0.0096931,              0.0096931,              0.0096931
                     34,                0.60019,                0.88197,                0.41817,                0.86761,                0.97559,                0.85714,                0.91051,                0.70004,                0.97559,                0.85714,                0.91051,                0.68162,                0.87861,                 1.5083,                0.59487,                0.91486,              0.0096832,              0.0096832,              0.0096832
                     35,                  0.606,                 0.8794,                0.41594,                0.85823,                 0.9973,                0.83673,                0.88449,                0.72383,                 0.9973,                0.83673,                0.88449,                0.68534,                0.77296,                 1.5085,                0.62144,                0.87605,              0.0096733,              0.0096733,              0.0096733
                     36,                0.60974,                0.94386,                0.42448,                 0.8645,                0.93812,                0.82505,                0.88819,                0.69805,                0.93812,                0.82505,                0.88683,                0.66453,                0.85129,                 1.5694,                0.66673,                0.89205,              0.0096634,              0.0096634,              0.0096634
                     37,                0.60269,                0.87824,                0.41225,                0.86164,                0.93749,                0.81618,                0.89353,                0.71314,                0.93749,                0.81618,                0.89239,                0.67538,                0.82394,                 1.5597,                 0.6988,                0.88724,              0.0096535,              0.0096535,              0.0096535
                     38,                0.58491,                0.87534,                0.41425,                0.85846,                0.96822,                0.88435,                0.92185,                0.72464,                0.96822,                0.88435,                0.92185,                 0.6987,                0.87234,                 1.5092,                0.64531,                0.90818,              0.0096436,              0.0096436,              0.0096436
                     39,                0.59212,                0.89306,                0.41381,                0.86431,                0.97341,                0.80272,                0.89094,                0.71093,                0.97341,                0.80272,                0.88455,                0.68089,                0.82842,                 1.6262,                0.66346,                0.87171,              0.0096337,              0.0096337,              0.0096337
                     40,                0.56573,                0.85787,                0.39733,                0.85346,                0.94859,                0.85714,                0.90087,                0.71379,                0.94859,                0.85714,                0.90087,                0.68507,                0.82255,                 1.5177,                0.64232,                 0.8985,              0.0096238,              0.0096238,              0.0096238
                     41,                0.58744,                0.85159,                0.40112,                0.85978,                0.96209,                0.86315,                0.89965,                0.71365,                0.96209,                0.86315,                0.89795,                0.68137,                0.83831,                 1.5331,                0.61876,                0.89079,              0.0096139,              0.0096139,              0.0096139
                     42,                0.58443,                0.85608,                0.39876,                 0.8526,                0.94956,                0.89654,                0.93421,                0.74614,                0.94956,                0.89654,                0.93421,                 0.7219,                0.86225,                 1.5401,                0.64995,                0.91498,               0.009604,               0.009604,               0.009604
                     43,                0.57611,                0.82953,                0.39625,                0.85255,                0.98224,                0.87075,                0.91732,                0.71737,                0.98224,                0.87075,                0.91732,                0.69085,                0.81947,                 1.6166,                0.56818,                0.92134,              0.0095941,              0.0095941,              0.0095941
                     44,                0.57719,                0.85767,                0.39337,                0.85259,                      1,                0.88357,                0.94145,                0.73739,                      1,                0.88357,                0.94145,                0.72155,                 0.8177,                 1.5217,                0.59718,                0.88299,              0.0095842,              0.0095842,              0.0095842
                     45,                0.57972,                0.84294,                0.39212,                0.86195,                      1,                0.88423,                0.92221,                0.71992,                      1,                0.88423,                0.92221,                 0.6903,                0.84172,                 1.5336,                 0.6315,                0.90925,              0.0095743,              0.0095743,              0.0095743
                     46,                0.56692,                 0.8237,                0.39232,                 0.8582,                0.97469,                0.78912,                0.83996,                0.67834,                0.97469,                0.78912,                0.83996,                0.65518,                0.79245,                 1.5979,                0.72515,                0.88098,              0.0095644,              0.0095644,              0.0095644
                     47,                0.55993,                0.81272,                0.39161,                0.85369,                0.96177,                0.84354,                0.89827,                0.72435,                0.96177,                0.84354,                0.89827,                0.70818,                0.82302,                 1.4143,                 0.6308,                0.88741,              0.0095545,              0.0095545,              0.0095545
                     48,                0.56247,                0.82808,                0.38769,                0.84951,                0.93725,                 0.9145,                0.94283,                  0.761,                0.93725,                 0.9145,                0.94283,                0.73735,                0.81128,                 1.5273,                0.49923,                0.88047,              0.0095446,              0.0095446,              0.0095446
                     49,                0.56936,                0.84016,                0.38418,                0.84998,                0.96063,                0.84354,                0.92551,                0.72437,                0.96063,                0.84354,                0.92551,                0.68855,                0.84921,                 1.6619,                0.55568,                0.90433,              0.0095347,              0.0095347,              0.0095347
                     50,                0.55648,                0.83426,                0.38029,                0.85116,                0.93356,                0.86025,                0.91579,                0.73066,                0.93356,                0.86025,                0.91579,                0.71704,                0.88047,                 1.6542,                0.72152,                0.90786,              0.0095248,              0.0095248,              0.0095248
                     51,                0.56637,                0.84469,                0.38862,                0.84991,                0.97741,                0.88317,                0.91339,                0.73524,                0.97741,                0.88317,                0.91339,                0.70631,                0.80504,                 1.4707,                0.62152,                0.88353,              0.0095149,              0.0095149,              0.0095149
                     52,                0.55482,                 0.8046,                0.37229,                0.84679,                0.96263,                0.87623,                0.92843,                0.75206,                0.96263,                0.87623,                0.92843,                0.72464,                0.79739,                 1.5925,                0.61626,                0.87849,               0.009505,               0.009505,               0.009505
                     53,                0.53903,                0.79622,                0.37383,                 0.8458,                 0.9765,                0.88435,                 0.9185,                0.73597,                 0.9765,                0.88435,                 0.9185,                0.71178,                0.83493,                 1.6169,                0.55941,                0.89363,              0.0094951,              0.0094951,              0.0094951
                     54,                0.54926,                0.80229,                0.37726,                0.84617,                0.94761,                0.86134,                 0.9313,                0.75629,                0.94761,                0.86134,                 0.9313,                0.73323,                0.77013,                 1.5247,                0.57332,                0.86286,              0.0094852,              0.0094852,              0.0094852
                     55,                0.54647,                0.78603,                0.37431,                0.84399,                0.97723,                 0.8759,                0.92256,                0.75005,                0.97723,                 0.8759,                0.92256,                0.71884,                 0.7789,                 1.4537,                0.52755,                0.88156,              0.0094753,              0.0094753,              0.0094753
                     56,                0.52806,                0.80678,                0.37188,                0.84281,                0.97336,                0.83673,                0.91722,                0.73111,                0.97336,                0.83673,                0.91722,                0.71013,                0.80733,                 1.5108,                0.60286,                0.86818,              0.0094654,              0.0094654,              0.0094654
                     57,                0.53426,                0.79089,                0.36585,                0.84208,                0.99541,                0.86395,                0.90895,                0.72625,                0.99541,                0.86395,                0.90895,                0.69774,                0.83342,                 1.5205,                0.63024,                0.88625,              0.0094555,              0.0094555,              0.0094555
                     58,                 0.5313,                0.79295,                0.36969,                0.84256,                0.97615,                0.87075,                0.93387,                 0.7651,                0.97615,                0.87075,                0.93387,                0.73478,                0.79033,                 1.5114,                0.60188,                0.88247,              0.0094456,              0.0094456,              0.0094456
                     59,                0.54604,                0.81284,                0.36975,                0.85036,                0.99228,                0.87457,                0.94242,                0.77707,                0.99228,                0.87457,                0.94242,                0.75757,                0.78169,                 1.4062,                0.66229,                0.87852,              0.0094357,              0.0094357,              0.0094357
                     60,                0.52314,                0.77063,                0.36372,                0.83602,                0.97234,                0.87075,                0.91711,                0.74929,                0.97234,                0.87075,                0.91711,                0.71691,                0.77028,                 1.5793,                0.57283,                0.87026,              0.0094258,              0.0094258,              0.0094258
